Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,Pen
regular,?,-,(Sat) 2 Apr 2005 (W13),CD Chivas USA (1),0-2,?,D.C. United (1),West,East,-,-
regular,?,-,(Sat) 2 Apr 2005 (W13),New York Red Bulls (1),0-0,?,Real Salt Lake (1),East,West,-,-
regular,?,-,(Sat) 2 Apr 2005 (W13),Columbus Crew SC (1),3-0,?,LA Galaxy (1),East,West,-,-
regular,?,-,(Sat) 2 Apr 2005 (W13),Sporting Kansas City (1),3-2,?,Colorado Rapids (1),East,West,-,-
regular,?,-,(Sat) 2 Apr 2005 (W13),FC Dallas (1),2-1,?,Chicago Fire (1),West,East,-,-
regular,?,-,(Sun) 3 Apr 2005 (W13),San Jose Earthquakes (1),2-2,?,New England Revolution (1),West,East,-,-
regular,?,-,(Sat) 9 Apr 2005 (W14),San Jose Earthquakes (2),3-3,?,CD Chivas USA (2),West,West,-,-
regular,?,-,(Sat) 9 Apr 2005 (W14),D.C. United (2),1-1,?,Chicago Fire (2),East,East,-,-
regular,?,-,(Sat) 9 Apr 2005 (W14),New England Revolution (2),3-0,?,Columbus Crew SC (2),East,East,-,-
regular,?,-,(Sat) 9 Apr 2005 (W14),Colorado Rapids (2),0-0,?,FC Dallas (2),West,West,-,-
regular,?,-,(Sun) 10 Apr 2005 (W14),LA Galaxy (2),3-1,?,Real Salt Lake (2),West,West,-,-
regular,?,-,(Fri) 15 Apr 2005 (W15),Columbus Crew SC (3),1-0,?,D.C. United (3),East,East,-,-
regular,?,-,(Sat) 16 Apr 2005 (W15),Real Salt Lake (3),1-0,?,Colorado Rapids (3),West,West,-,-
regular,?,-,(Sat) 16 Apr 2005 (W15),New York Red Bulls (2),2-2,?,Sporting Kansas City (2),East,East,-,-
regular,?,-,(Sat) 16 Apr 2005 (W15),Chicago Fire (3),2-1,?,San Jose Earthquakes (3),East,West,-,-
regular,?,-,(Sun) 17 Apr 2005 (W15),CD Chivas USA (3),1-3,?,FC Dallas (3),West,West,-,-
regular,?,-,(Fri) 22 Apr 2005 (W16),New York Red Bulls (3),0-1,?,Chicago Fire (4),East,East,-,-
regular,?,-,(Sat) 23 Apr 2005 (W16),D.C. United (4),3-4,?,New England Revolution (3),East,East,-,-
regular,?,-,(Sat) 23 Apr 2005 (W16),FC Dallas (4),3-0,?,Real Salt Lake (4),West,West,-,-
regular,?,-,(Sat) 23 Apr 2005 (W16),Colorado Rapids (4),2-0,?,Columbus Crew SC (4),West,East,-,-
regular,?,-,(Sun) 24 Apr 2005 (W16),LA Galaxy (3),3-1,?,CD Chivas USA (4),West,West,-,-
regular,?,-,(Sun) 24 Apr 2005 (W16),San Jose Earthquakes (4),3-2,?,Sporting Kansas City (3),West,East,-,-
regular,?,-,(Wed) 27 Apr 2005 (W17),Chicago Fire (5),0-3,?,New England Revolution (4),East,East,-,-
regular,?,-,(Sat) 30 Apr 2005 (W17),Sporting Kansas City (4),0-0,?,D.C. United (5),East,East,-,-
regular,?,-,(Sat) 30 Apr 2005 (W17),Columbus Crew SC (5),0-2,?,Chicago Fire (6),East,East,-,-
regular,?,-,(Sat) 30 Apr 2005 (W17),New England Revolution (5),1-0,?,CD Chivas USA (5),East,West,-,-
